Provider_NPI,prescription_claim_count,total_billed_amount,average_billed_amount,total_paid_amount,average_paid_amount,average_days_supply,average_quantity_dispensed,average_processing_latency,average_retry_count,denial_rate,SLA_breach_rate
1070374173.0,1,1207.0,1207.0,879.76,879.76,60.0,54.0,1.0,0.0,0.0,0.0
1070486223.0,1,988.54,988.54,820.53,820.53,60.0,66.0,3.0,0.0,0.0,1.0
1071028037.0,1,809.26,809.26,561.95,561.95,30.0,41.0,4.0,1.0,0.0,1.0
1071095582.0,1,332.21,332.21,222.58,222.58,30.0,30.0,4.0,1.0,0.0,1.0
1071457048.0,1,1400.98,1400.98,1227.53,1227.53,60.0,89.0,4.0,0.0,0.0,1.0
1071986251.0,1,499.89,499.89,360.14,360.14,30.0,32.0,2.0,1.0,0.0,0.0
1072089632.0,1,923.99,923.99,691.15,691.15,30.0,40.0,0.0,1.0,1.0,0.0
1072644258.0,1,449.96,449.96,312.93,312.93,30.0,33.0,1.0,0.0,0.0,0.0
1072651343.0,1,148.42,148.42,131.82,131.82,30.0,33.0,4.0,2.0,0.0,1.0
1072816625.0,1,658.49,658.49,493.41,493.41,90.0,129.0,3.0,0.0,0.0,1.0
1073295748.0,1,39.64,39.64,54.15,54.15,30.0,42.0,4.0,0.0,1.0,1.0
1073540125.0,1,293.24,293.24,240.69,240.69,90.0,100.0,2.0,0.0,0.0,0.0
1073653952.0,1,660.81,660.81,605.6,605.6,30.0,34.0,1.0,3.0,1.0,0.0
1074055412.0,1,2386.88,2386.88,1710.35,1710.35,90.0,120.0,0.0,2.0,0.0,0.0
1074457819.0,1,323.45,323.45,232.74,232.74,30.0,29.0,4.0,0.0,0.0,1.0
1074689855.0,1,69.54,69.54,43.68,43.68,30.0,30.0,4.0,0.0,0.0,1.0
1075927714.0,1,371.7,371.7,267.33,267.33,30.0,40.0,3.0,0.0,0.0,1.0
1075995382.0,1,387.13,387.13,342.61,342.61,30.0,32.0,0.0,3.0,0.0,0.0
1076422979.0,1,448.71,448.71,313.53,313.53,30.0,32.0,1.0,3.0,0.0,0.0
1076438337.0,1,798.04,798.04,581.78,581.78,30.0,42.0,,1.0,0.0,0.0
1076587226.0,1,676.69,676.69,609.32,609.32,90.0,81.0,0.0,2.0,1.0,0.0
1076986158.0,1,505.2,505.2,460.15,460.15,30.0,26.0,0.0,0.0,0.0,0.0
1077088770.0,1,1928.51,1928.51,1329.76,1329.76,60.0,90.0,3.0,0.0,0.0,1.0
1077786657.0,1,773.48,773.48,717.59,717.59,90.0,72.0,0.0,0.0,1.0,0.0
1078067795.0,1,485.28,485.28,352.82,352.82,30.0,30.0,3.0,0.0,0.0,1.0
1079239955.0,1,15.53,15.53,9.32,9.32,30.0,28.0,4.0,0.0,1.0,1.0
1079434917.0,1,193.58,193.58,132.08,132.08,30.0,41.0,2.0,0.0,0.0,0.0
1079553188.0,1,182.13,182.13,129.67,129.67,30.0,25.0,3.0,3.0,0.0,1.0
1080819180.0,1,75.72,75.72,54.05,54.05,30.0,25.0,2.0,0.0,0.0,0.0
1081193639.0,1,182.53,182.53,139.35,139.35,30.0,32.0,3.0,0.0,0.0,1.0
1081462179.0,1,813.48,813.48,735.62,735.62,60.0,67.0,0.0,2.0,0.0,0.0
1081528135.0,1,2077.99,2077.99,1903.83,1903.83,90.0,134.0,4.0,0.0,1.0,1.0
1082012091.0,1,339.83,339.83,216.23,216.23,30.0,28.0,4.0,0.0,0.0,1.0
1082368998.0,1,616.8,616.8,439.03,439.03,30.0,42.0,1.0,0.0,0.0,0.0
1083040744.0,1,1128.13,1128.13,958.14,958.14,90.0,99.0,4.0,1.0,0.0,1.0
1083051902.0,1,859.5,859.5,815.04,815.04,30.0,37.0,1.0,0.0,0.0,0.0
1083179399.0,1,633.32,633.32,437.41,437.41,30.0,40.0,2.0,3.0,0.0,0.0
1083213896.0,1,109.08,109.08,70.92,70.92,30.0,43.0,0.0,2.0,0.0,0.0
1083423880.0,1,1370.47,1370.47,1023.14,1023.14,90.0,84.0,2.0,1.0,0.0,0.0
1084171617.0,1,588.65,588.65,439.31,439.31,30.0,38.0,3.0,2.0,0.0,1.0
1084257936.0,1,227.53,227.53,160.58,160.58,30.0,41.0,2.0,1.0,1.0,0.0
1084414368.0,1,611.41,611.41,578.66,578.66,90.0,75.0,3.0,0.0,0.0,1.0
1084488906.0,1,370.66,370.66,266.54,266.54,30.0,33.0,3.0,2.0,0.0,1.0
1085664036.0,1,1014.01,1014.01,681.8,681.8,90.0,99.0,1.0,1.0,0.0,0.0
1086038819.0,1,787.86,787.86,612.89,612.89,60.0,69.0,1.0,1.0,0.0,0.0
1086057743.0,1,737.55,737.55,651.51,651.51,90.0,120.0,1.0,1.0,0.0,0.0
1086408460.0,1,1802.67,1802.67,1647.04,1647.04,90.0,113.0,3.0,3.0,0.0,1.0
1087213139.0,1,2813.33,2813.33,2101.42,2101.42,90.0,133.0,3.0,0.0,0.0,1.0
1087242277.0,1,666.9,666.9,611.14,611.14,90.0,98.0,4.0,0.0,0.0,1.0
1087515250.0,1,168.78,168.78,149.72,149.72,60.0,76.0,2.0,0.0,0.0,0.0
1087601612.0,1,1414.24,1414.24,1172.62,1172.62,90.0,117.0,2.0,0.0,0.0,0.0
1087919564.0,1,837.55,837.55,618.88,618.88,30.0,42.0,1.0,1.0,0.0,0.0
1088286259.0,1,1123.16,1123.16,795.34,795.34,60.0,61.0,4.0,0.0,0.0,1.0
1088980013.0,1,584.38,584.38,545.07,545.07,30.0,27.0,4.0,3.0,0.0,1.0
1089003008.0,1,1046.53,1046.53,737.3,737.3,90.0,93.0,0.0,0.0,0.0,0.0
1089237607.0,1,194.62,194.62,138.45,138.45,30.0,32.0,2.0,0.0,0.0,0.0
1089926184.0,1,607.91,607.91,406.25,406.25,90.0,118.0,3.0,0.0,0.0,1.0
1090840270.0,1,184.46,184.46,120.89,120.89,30.0,34.0,3.0,1.0,0.0,1.0
1090982230.0,1,510.68,510.68,325.47,325.47,60.0,50.0,0.0,0.0,0.0,0.0
1091207997.0,1,814.2,814.2,710.43,710.43,60.0,56.0,2.0,0.0,0.0,0.0
1091748952.0,1,564.64,564.64,481.76,481.76,30.0,41.0,4.0,3.0,0.0,1.0
1091827532.0,2,1641.76,820.88,1310.36,655.18,90.0,115.0,0.0,0.0,0.0,0.0
1091948133.0,1,1247.4,1247.4,777.37,777.37,60.0,80.0,3.0,2.0,0.0,1.0
1092079811.0,1,1449.35,1449.35,996.8,996.8,90.0,107.0,2.0,2.0,0.0,0.0
1092406703.0,1,187.4,187.4,134.28,134.28,60.0,68.0,4.0,0.0,1.0,1.0
1092542335.0,1,93.68,93.68,87.65,87.65,30.0,24.0,2.0,3.0,0.0,0.0
1092542754.0,1,1743.43,1743.43,1507.89,1507.89,90.0,102.0,1.0,2.0,1.0,0.0
1092694492.0,1,704.68,704.68,620.56,620.56,30.0,35.0,2.0,0.0,0.0,0.0
1093114753.0,1,539.05,539.05,488.59,488.59,60.0,69.0,1.0,3.0,0.0,0.0
1093695395.0,1,507.0,507.0,475.0,475.0,30.0,31.0,0.0,1.0,0.0,0.0
1094162996.0,1,2028.56,2028.56,1471.45,1471.45,90.0,130.0,1.0,2.0,0.0,0.0
1094697428.0,1,1052.09,1052.09,701.03,701.03,60.0,66.0,1.0,2.0,0.0,0.0
1094701263.0,1,404.27,404.27,317.21,317.21,60.0,79.0,1.0,1.0,0.0,0.0
1094889640.0,1,487.35,487.35,425.09,425.09,30.0,43.0,3.0,0.0,0.0,1.0
1096115078.0,1,219.54,219.54,137.32,137.32,30.0,27.0,0.0,0.0,0.0,0.0
1096228913.0,2,989.44,494.72,906.22,453.11,60.0,79.0,3.0,0.0,0.0,1.0
1096381705.0,1,143.82,143.82,123.73,123.73,30.0,25.0,2.0,0.0,1.0,0.0
1096477408.0,1,649.14,649.14,391.23,391.23,30.0,27.0,1.0,1.0,0.0,0.0
1096705937.0,1,729.56,729.56,551.33,551.33,60.0,81.0,1.0,0.0,0.0,0.0
