NDC_Code,number_of_prescriptions,drug_name,average_billed_amount,median_billed_amount,average_paid_amount,average_allowed_amount,average_days_supply,average_quantity_dispensed
15901-498-54,1,XIFAXAN,1752.49,1752.49,1243.54,1243.54,90.0,85.0
15964-563-92,1,TOBI,1070.6,1070.6,827.28,827.28,60.0,62.0
15975-491-80,1,CEFAZOLIN SODIUM,740.9,740.9,700.53,700.53,60.0,51.0
16030-533-47,1,ZOHYDRO ER,1648.72,1648.72,1122.98,1122.98,90.0,123.0
16049-595-44,1,SEPTRA DS,752.46,752.46,457.38,457.38,30.0,43.0
16076-201-62,1,ARYMO ER,634.28,634.28,575.11,575.11,30.0,28.0
16158-797-79,1,CEFADROXIL,1114.93,1114.93,967.16,967.16,60.0,74.0
16174-414-75,1,LEVAQUIN,298.73,298.73,232.78,232.78,30.0,24.0
16176-869-79,1,DORIPENEM,1429.6,1429.6,1074.54,1074.54,60.0,81.0
16186-599-26,1,KADIAN,295.41,295.41,178.68,178.68,30.0,32.0
16193-430-86,1,NALOCET,508.77,508.77,378.11,378.11,30.0,29.0
16213-512-36,1,SECUADO,1340.53,1340.53,959.13,959.13,60.0,56.0
16214-326-44,1,DAPTOMYCIN-0.9% NACL,1415.29,1415.29,1189.37,1189.37,60.0,76.0
16311-538-45,1,ROXICODONE,482.22,482.22,344.61,344.61,30.0,36.0
16337-485-28,1,MONODOX,1010.53,1010.53,732.42,732.42,60.0,56.0
16346-771-59,1,FENTANYL,1622.04,1622.04,1238.02,1238.02,90.0,108.0
16349-923-83,1,TEFLARO,299.75,299.75,279.53,279.53,30.0,32.0
16359-244-41,1,LINCOCIN,214.98,214.98,172.96,172.96,30.0,40.0
16362-183-35,1,DALVANCE,527.17,527.17,370.08,370.08,30.0,26.0
16366-605-87,1,PCE,93.17,93.17,64.31,64.31,30.0,28.0
16386-484-65,1,METRONIDAZOLE,505.2,505.2,460.15,460.15,30.0,26.0
16397-144-25,1,VANCOMYCIN HCL-0.9% NACL,660.81,660.81,605.6,605.6,30.0,34.0
16400-960-10,1,CEFAZOLIN SODIUM-DEXTROSE,1436.77,1436.77,928.9,928.9,60.0,62.0
16420-957-31,1,VANCOMYCIN,559.44,559.44,427.5,427.5,60.0,75.0
16427-974-32,1,FANAPT,573.22,573.22,391.62,391.62,30.0,31.0
16447-583-94,1,HALDOL DECANOATE 50,1489.1,1489.1,1316.31,1316.31,90.0,106.0
16472-115-44,1,METHADONE INTENSOL,511.12,511.12,329.77,329.77,90.0,82.0
16479-807-37,1,CEFAZOLIN SODIUM,2371.05,2371.05,2132.44,2132.44,90.0,113.0
16480-681-86,1,XODOL 7.5-300,199.67,199.67,164.68,164.68,30.0,27.0
16535-543-51,1,BUPRENORPHINE,470.84,470.84,319.37,319.37,30.0,27.0
16557-827-30,1,CIPROFLOXACIN,684.79,684.79,423.1,423.1,30.0,29.0
16637-859-37,1,CARISOPRODOL COMPOUND-CODEINE,539.02,539.02,402.58,402.58,30.0,25.0
16680-289-58,1,MOLINDONE HCL,589.09,589.09,421.36,421.36,30.0,43.0
16694-944-65,1,DORYX MPC,1008.34,1008.34,706.24,706.24,60.0,82.0
16765-724-84,1,CLEOCIN HCL,231.39,231.39,186.23,186.23,60.0,79.0
16780-772-82,1,METHADONE HCL,1071.76,1071.76,715.73,715.73,30.0,44.0
16795-904-82,1,CEFEPIME,837.35,837.35,660.62,660.62,30.0,37.0
16826-372-84,1,SOLODYN,65.51,65.51,46.22,46.22,30.0,25.0
16838-415-36,1,TREZIX,80.43,80.43,73.7,73.7,30.0,31.0
16862-173-87,1,CIPRO I.V.,327.11,327.11,251.75,251.75,30.0,27.0
16865-576-97,1,INVANZ,1386.13,1386.13,845.56,845.56,60.0,71.0
16895-979-59,1,BUTALBITAL COMPOUND-CODEINE,73.79,73.79,63.68,63.68,30.0,45.0
16908-996-18,1,VANCOMYCIN,115.74,115.74,73.39,73.39,30.0,26.0
16915-684-31,1,FACTIVE,1027.12,1027.12,933.42,933.42,30.0,44.0
16952-294-34,1,CIPROFLOXACIN-D5W,696.17,696.17,433.95,433.95,30.0,38.0
16969-659-31,1,TYLOX,587.16,587.16,510.77,510.77,30.0,25.0
16973-363-40,1,ZIPRASIDONE HCL,392.53,392.53,300.89,300.89,30.0,33.0
16981-686-96,1,NAFCILLIN SODIUM,525.94,525.94,485.24,485.24,90.0,108.0
16983-653-64,1,SOLODYN,248.38,248.38,169.59,169.59,30.0,32.0
16987-793-98,1,ERTAPENEM,392.82,392.82,354.27,354.27,60.0,81.0
17018-382-21,1,LEVORPHANOL TARTRATE,162.69,162.69,122.81,122.81,30.0,36.0
17030-699-91,1,CLINDAMYCIN PALMITATE HCL,691.79,691.79,610.28,610.28,30.0,44.0
17173-521-13,1,HALOPERIDOL,473.24,473.24,390.77,390.77,60.0,59.0
17173-794-41,1,CARISOPRODOL-ASPIRIN-CODEINE,400.78,400.78,318.59,318.59,30.0,35.0
17189-367-95,1,HALDOL,897.55,897.55,665.31,665.31,30.0,37.0
17241-597-90,1,INVEGA TRINZA,449.58,449.58,407.61,407.61,30.0,38.0
17247-321-70,1,THIORIDAZINE HCL,424.78,424.78,272.98,272.98,30.0,26.0
17277-176-52,1,CEFTAZIDIME,1857.57,1857.57,1614.05,1614.05,60.0,82.0
17281-620-58,1,BELBUCA,506.8,506.8,454.51,454.51,30.0,29.0
17326-466-61,1,NALOCET,1116.99,1116.99,1026.7,1026.7,90.0,121.0
17339-403-49,1,MINOCIN,1525.96,1525.96,1118.62,1118.62,90.0,94.0
17427-677-65,1,MOLINDONE HCL,247.72,247.72,191.62,191.62,30.0,31.0
17429-893-12,1,OXAYDO,422.99,422.99,368.19,368.19,30.0,30.0
17454-313-13,1,HYDROMORPHONE HCL,2222.94,2222.94,1584.39,1584.39,90.0,120.0
17548-426-38,1,CLINDAMYCIN HCL,999.86,999.86,723.49,723.49,90.0,126.0
17607-893-87,1,GEODON,510.02,510.02,320.47,320.47,30.0,43.0
17714-233-67,1,VANCOMYCIN-D5W,1743.77,1743.77,1234.67,1234.67,60.0,75.0
17736-943-64,1,CLAFORAN,229.05,229.05,199.52,199.52,30.0,39.0
17808-269-96,1,VANCOMYCIN HCL,306.55,306.55,214.21,214.21,30.0,41.0
17840-842-24,1,METRONIDAZOLE,120.34,120.34,78.03,78.03,30.0,27.0
17859-183-38,1,FIORICET WITH CODEINE,509.59,509.59,480.32,480.32,30.0,43.0
17893-253-82,1,CARISOPRODOL-ASPIRIN-CODEINE,68.49,68.49,44.91,44.91,90.0,76.0
17940-287-34,1,BUTALBITAL COMPOUND-CODEINE,667.1,667.1,530.69,530.69,30.0,38.0
17943-804-23,1,VANCOMYCIN,882.71,882.71,601.75,601.75,30.0,39.0
18000-156-74,1,LINEZOLID-0.9% NACL,1323.02,1323.02,998.94,998.94,90.0,76.0
18060-240-34,1,VIBRAMYCIN,348.82,348.82,309.4,309.4,30.0,36.0
18077-890-50,1,FAZACLO,1400.98,1400.98,1227.53,1227.53,60.0,89.0
18158-348-24,1,CEFDINIR,658.77,658.77,411.4,411.4,30.0,42.0
18165-300-70,1,LINCOCIN,909.26,909.26,863.05,-863.05,30.0,41.0
18176-576-51,1,GEODON,26.05,26.05,18.28,18.28,30.0,40.0
18182-884-24,1,QUETIAPINE FUMARATE ER,1184.75,1184.75,789.04,789.04,90.0,112.0
18209-480-70,1,LEVOFLOXACIN,1296.43,1296.43,842.13,842.13,60.0,88.0
18216-351-15,1,OFLOXACIN,22.6,22.6,18.65,18.65,30.0,39.0
18241-812-34,1,AUGMENTIN XR,797.16,797.16,581.88,581.88,60.0,90.0
18254-770-97,1,ERYTHROCIN STEARATE,1433.91,1433.91,978.12,978.12,60.0,61.0
18291-130-83,1,ARIPIPRAZOLE,1206.71,1206.71,870.88,870.88,60.0,50.0
