Provider_NPI,Predominant_Record_Type,Total_Records,Flagged_Records,Flagged_Record_Percentage,ML_Anomaly_Count,Statistical_Anomaly_Count,Rule_Violation_Count,Consensus_Level_2_Count,Consensus_Level_3_Count,High_Risk_Record_Count,Critical_Risk_Record_Count,Average_Risk_Score,Maximum_Risk_Score,Denial_Rate_Percentage,Provider_Risk_Level,Provider_Status,Primary_Risk_Factors
1700237633,MEDICAL_CLAIM,77,44,57.14,0,42,42,37,0,5,1,31.38,76.17,1.3,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 5 high-risk records; 57.1% flagged records
1326288143,MEDICAL_CLAIM,5,5,100.0,0,5,5,5,0,4,1,74.49,75.12,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 4 high-risk records; 100.0% flagged records; Average claim risk score = 74.5
1659927556,MEDICAL_CLAIM,7,7,100.0,1,6,9,2,0,3,1,52.56,95.55,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 3 high-risk records; 100.0% flagged records; Average claim risk score = 52.6
1134606403,MEDICAL_CLAIM,44,27,61.36,1,15,29,24,0,3,1,32.85,89.36,2.27,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 3 high-risk records; 61.4% flagged records
1245283530,MEDICAL_CLAIM,6,5,83.33,0,4,5,2,0,2,1,45.28,76.34,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 2 high-risk records; 83.3% flagged records; Average claim risk score = 45.3
1821006867,MEDICAL_CLAIM,21,17,80.95,1,18,17,14,0,2,1,41.77,75.64,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 2 high-risk records; 81.0% flagged records; Average claim risk score = 41.8
1154891562,MEDICAL_CLAIM,10,7,70.0,0,7,4,3,0,2,1,38.62,75.34,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 2 high-risk records; 70.0% flagged records; Average claim risk score = 38.6
1730144593,MEDICAL_CLAIM,20,19,95.0,0,19,8,6,0,2,1,38.19,76.05,5.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 2 high-risk records; 95.0% flagged records; Average claim risk score = 38.2
1972509701,MEDICAL_CLAIM,2,2,100.0,0,2,2,1,0,1,1,68.14,85.39,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 100.0% flagged records; Average claim risk score = 68.1
1194077297,MEDICAL_CLAIM,5,4,80.0,1,2,6,1,1,1,1,49.46,100.0,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 80.0% flagged records; Average claim risk score = 49.5
1447615455,MEDICAL_CLAIM,4,3,75.0,0,3,5,2,0,1,1,45.76,82.52,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 75.0% flagged records; Average claim risk score = 45.8
1942518550,MEDICAL_CLAIM,7,6,85.71,0,2,8,1,1,1,1,39.1,81.28,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 85.7% flagged records; Average claim risk score = 39.1
1295145191,MEDICAL_CLAIM,6,3,50.0,1,2,7,2,0,1,1,34.23,75.69,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 50.0% flagged records
1541564391,PHARMACY_CLAIM,1,1,100.0,1,1,3,0,1,0,1,99.77,99.77,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 99.8
1416354126,PHARMACY_CLAIM,1,1,100.0,0,1,2,0,1,0,1,93.11,93.11,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 93.1; Empirical claim denial rate = 100.0%
1870248593,PHARMACY_CLAIM,1,1,100.0,1,1,2,0,1,0,1,89.87,89.87,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 89.9; Empirical claim denial rate = 100.0%
1318224454,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,89.17,89.17,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 89.2
1184379255,PHARMACY_CLAIM,1,1,100.0,0,1,3,1,0,0,1,88.95,88.95,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 89.0; Empirical claim denial rate = 100.0%
1160754643,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,88.51,88.51,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 88.5
1551868694,PHARMACY_CLAIM,1,1,100.0,0,1,4,1,0,0,1,88.34,88.34,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 88.3
1507355825,PHARMACY_CLAIM,1,1,100.0,0,1,3,1,0,0,1,86.3,86.3,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 86.3
1307832067,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,85.25,85.25,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 85.2
1735620608,PHARMACY_CLAIM,1,1,100.0,0,1,3,1,0,0,1,85.1,85.1,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 85.1
1274003795,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,85.08,85.08,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 85.1
1640525944,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,85.02,85.02,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 85.0
1295604430,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,82.71,82.71,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 82.7; Empirical claim denial rate = 100.0%
1560517239,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,82.64,82.64,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 82.6
1383304048,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,82.45,82.45,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 82.5
1108943532,PHARMACY_CLAIM,1,1,100.0,0,1,4,1,0,0,1,81.28,81.28,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 81.3
1950052993,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,81.07,81.07,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 81.1
1148843631,PHARMACY_CLAIM,1,1,100.0,0,1,3,1,0,0,1,80.81,80.81,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 80.8
1205839164,MEDICAL_CLAIM,1,1,100.0,1,1,1,0,1,0,1,79.68,79.68,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 79.7
1418661594,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,76.72,76.72,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 76.7
1119210650,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,76.66,76.66,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 76.7; Empirical claim denial rate = 100.0%
1073295748,PHARMACY_CLAIM,1,1,100.0,0,1,3,1,0,0,1,76.31,76.31,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 76.3; Empirical claim denial rate = 100.0%
1528147824,MEDICAL_CLAIM,2,2,100.0,0,2,2,1,0,0,1,63.11,83.19,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 63.1
1033359468,MEDICAL_CLAIM,2,2,100.0,0,2,2,1,0,0,1,57.23,75.26,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 57.2
1104247188,MEDICAL_CLAIM,3,3,100.0,0,3,1,1,0,0,1,55.73,75.27,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 55.7
1104803444,MEDICAL_CLAIM,2,2,100.0,0,1,2,1,0,0,1,52.52,75.01,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 52.5
1669884854,MEDICAL_CLAIM,2,1,50.0,0,2,2,1,0,0,1,47.44,83.0,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 50.0% flagged records; Average claim risk score = 47.4
1811171978,MEDICAL_CLAIM,3,3,100.0,0,2,5,1,0,0,1,45.65,75.17,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 45.7
1962867762,MEDICAL_CLAIM,3,2,66.67,0,1,3,1,0,0,1,41.43,75.01,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 66.7% flagged records; Average claim risk score = 41.4
1487640207,MEDICAL_CLAIM,2,1,50.0,0,1,1,1,0,0,1,40.11,75.18,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 50.0% flagged records; Average claim risk score = 40.1
1285836080,MEDICAL_CLAIM,2,1,50.0,0,1,2,1,0,0,1,39.45,75.41,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 50.0% flagged records; Average claim risk score = 39.5
1003437344,MEDICAL_CLAIM,4,2,50.0,0,2,3,1,0,0,1,35.42,94.63,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 50.0% flagged records; Average claim risk score = 35.4
1114171949,MEDICAL_CLAIM,4,1,25.0,0,2,2,1,0,0,1,27.67,75.07,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 25.0% flagged records
UNKNOWN_PROVIDER,PHARMACY_CLAIM,60,39,65.0,18,25,20,13,5,12,0,35.56,69.96,12.73,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,12 high-risk records; 65.0% flagged records; Average claim risk score = 35.6
1265532915,MEDICAL_CLAIM,15,15,100.0,0,15,14,14,0,9,0,52.31,61.89,6.67,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,9 high-risk records; 100.0% flagged records; Average claim risk score = 52.3
1992880736,MEDICAL_CLAIM,19,17,89.47,0,19,17,16,0,8,0,48.27,65.09,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,8 high-risk records; 89.5% flagged records; Average claim risk score = 48.3
1619351160,MEDICAL_CLAIM,23,23,100.0,0,23,10,10,0,8,0,40.52,52.88,4.35,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,8 high-risk records; 100.0% flagged records; Average claim risk score = 40.5
1538349469,MEDICAL_CLAIM,47,35,74.47,0,30,35,18,0,8,0,36.31,64.48,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,8 high-risk records; 74.5% flagged records; Average claim risk score = 36.3
1215332762,MEDICAL_CLAIM,27,22,81.48,0,26,13,13,0,6,0,38.16,58.32,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,6 high-risk records; 81.5% flagged records; Average claim risk score = 38.2
1003866740,MEDICAL_CLAIM,10,9,90.0,0,10,7,7,0,5,0,46.76,65.78,10.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,5 high-risk records; 90.0% flagged records; Average claim risk score = 46.8
1467430124,MEDICAL_CLAIM,24,22,91.67,0,23,20,17,2,5,0,45.88,73.22,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,5 high-risk records; 91.7% flagged records; Average claim risk score = 45.9
1861686776,MEDICAL_CLAIM,4,4,100.0,0,4,4,4,0,4,0,73.93,74.58,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,4 high-risk records; 100.0% flagged records; Average claim risk score = 73.9
1013105568,MEDICAL_CLAIM,4,4,100.0,1,4,4,3,1,4,0,68.49,73.68,25.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,4 high-risk records; 100.0% flagged records; Average claim risk score = 68.5; Empirical claim denial rate = 25.0%
1881836195,MEDICAL_CLAIM,6,6,100.0,0,6,5,5,0,4,0,50.97,68.2,16.67,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,4 high-risk records; 100.0% flagged records; Average claim risk score = 51.0
1689760092,MEDICAL_CLAIM,8,8,100.0,0,8,4,4,0,4,0,44.53,74.93,14.29,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,4 high-risk records; 100.0% flagged records; Average claim risk score = 44.5
1578928826,MEDICAL_CLAIM,9,7,77.78,0,6,6,4,0,4,0,39.47,65.13,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,4 high-risk records; 77.8% flagged records; Average claim risk score = 39.5
1104288976,MEDICAL_CLAIM,37,27,72.97,0,12,21,21,0,4,0,33.33,59.72,2.7,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,4 high-risk records; 73.0% flagged records
1184670663,MEDICAL_CLAIM,10,4,40.0,0,3,7,3,0,4,0,32.8,73.7,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,4 high-risk records; 40.0% flagged records
1861563439,MEDICAL_CLAIM,3,3,100.0,0,3,3,3,0,3,0,64.91,73.55,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 100.0% flagged records; Average claim risk score = 64.9
1598152019,MEDICAL_CLAIM,3,3,100.0,0,3,3,3,0,3,0,61.61,64.56,33.33,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 100.0% flagged records; Average claim risk score = 61.6; Empirical claim denial rate = 33.3%
1427418276,MEDICAL_CLAIM,3,3,100.0,0,3,3,3,0,3,0,60.05,62.21,33.33,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 100.0% flagged records; Average claim risk score = 60.1; Empirical claim denial rate = 33.3%
1891005047,MEDICAL_CLAIM,5,5,100.0,1,5,3,2,1,3,0,54.0,67.25,20.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 100.0% flagged records; Average claim risk score = 54.0
1801284443,MEDICAL_CLAIM,6,6,100.0,0,6,6,4,0,3,0,50.96,73.3,16.67,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 100.0% flagged records; Average claim risk score = 51.0
1780879023,MEDICAL_CLAIM,6,6,100.0,1,6,4,5,0,3,0,49.13,58.51,16.67,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 100.0% flagged records; Average claim risk score = 49.1
1114074622,MEDICAL_CLAIM,7,5,71.43,0,2,9,3,0,3,0,47.76,74.78,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 71.4% flagged records; Average claim risk score = 47.8
1972135390,MEDICAL_CLAIM,6,5,83.33,0,6,5,5,0,3,0,46.74,54.95,16.67,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 83.3% flagged records; Average claim risk score = 46.7
1427593896,MEDICAL_CLAIM,7,6,85.71,0,7,4,4,0,3,0,43.21,57.66,14.29,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 85.7% flagged records; Average claim risk score = 43.2
1447544010,MEDICAL_CLAIM,9,6,66.67,0,5,6,1,0,3,0,35.24,65.08,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 66.7% flagged records; Average claim risk score = 35.2
1669840633,MEDICAL_CLAIM,12,7,58.33,0,7,7,2,0,3,0,34.11,73.79,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 58.3% flagged records
1124430319,MEDICAL_CLAIM,20,10,50.0,0,9,16,2,0,3,0,30.67,74.53,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 50.0% flagged records
1548788771,MEDICAL_CLAIM,15,8,53.33,1,5,8,1,0,3,0,29.26,73.46,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 53.3% flagged records
1811975535,MEDICAL_CLAIM,9,6,66.67,0,6,2,0,0,3,0,29.16,50.59,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 66.7% flagged records
1053482273,MEDICAL_CLAIM,51,31,60.78,1,13,36,1,0,3,0,28.07,66.78,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,3 high-risk records; 60.8% flagged records
1477741999,MEDICAL_CLAIM,2,2,100.0,0,2,2,2,0,2,0,74.22,74.52,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 74.2
1639593338,MEDICAL_CLAIM,2,2,100.0,0,1,4,2,0,2,0,71.9,74.87,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 71.9
1285683045,MEDICAL_CLAIM,2,2,100.0,0,2,2,2,0,2,0,70.84,74.81,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 70.8
1908045857,PHARMACY_CLAIM,2,2,100.0,2,2,2,0,2,2,0,69.94,69.94,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 69.9
1129091098,PHARMACY_CLAIM,2,2,100.0,2,2,2,0,2,2,0,69.85,69.85,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 69.8
1949306366,PRIOR_AUTH,2,2,100.0,2,2,2,0,2,2,0,69.83,69.83,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 69.8; Empirical claim denial rate = 100.0%
1203251898,PHARMACY_CLAIM,2,2,100.0,2,2,2,0,2,2,0,69.74,69.74,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 69.7
1150769152,PHARMACY_CLAIM,2,2,100.0,2,2,2,0,2,2,0,69.58,69.58,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 69.6
1992962117,PHARMACY_CLAIM,2,2,100.0,0,2,2,0,2,2,0,69.47,69.47,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 69.5; Empirical claim denial rate = 100.0%
1396094017,MEDICAL_CLAIM,2,2,100.0,0,2,2,2,0,2,0,66.22,72.87,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 66.2
1993962280,PRIOR_AUTH,2,2,100.0,2,2,2,2,0,2,0,65.66,65.66,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 65.7; Empirical claim denial rate = 100.0%
1780123372,MEDICAL_CLAIM,2,2,100.0,0,2,2,2,0,2,0,65.62,73.36,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 65.6
1124579929,PRIOR_AUTH,2,2,100.0,2,2,2,2,0,2,0,65.59,65.59,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 65.6; Empirical claim denial rate = 100.0%
1952409765,MEDICAL_CLAIM,2,2,100.0,0,2,2,2,0,2,0,65.31,65.31,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 65.3
1821232869,MEDICAL_CLAIM,2,2,100.0,1,2,1,2,0,2,0,65.18,74.55,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 65.2
1770760902,MEDICAL_CLAIM,2,2,100.0,0,2,2,2,0,2,0,64.62,69.03,50.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 64.6; Empirical claim denial rate = 50.0%
1180138860,PHARMACY_CLAIM,2,2,100.0,0,2,2,2,0,2,0,64.37,64.37,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 64.4
1479140045,PHARMACY_CLAIM,2,2,100.0,0,2,2,2,0,2,0,62.67,62.67,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 62.7
1366481293,MEDICAL_CLAIM,2,2,100.0,0,2,2,2,0,2,0,60.92,62.53,50.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 60.9; Empirical claim denial rate = 50.0%
1578560090,MEDICAL_CLAIM,2,2,100.0,0,2,2,2,0,2,0,59.68,59.68,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 59.7
1467483255,MEDICAL_CLAIM,2,2,100.0,0,2,2,2,0,2,0,59.53,60.06,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 59.5
1396366308,MEDICAL_CLAIM,2,2,100.0,2,2,2,1,1,2,0,58.95,61.09,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,2 high-risk records; 100.0% flagged records; Average claim risk score = 59.0
