Provider_NPI,Predominant_Record_Type,Total_Records,Flagged_Records,Flagged_Record_Percentage,ML_Anomaly_Count,Statistical_Anomaly_Count,Rule_Violation_Count,High_Risk_Record_Count,Critical_Risk_Record_Count,Average_Risk_Score,Maximum_Risk_Score,Denial_Rate_Percentage,Provider_Risk_Level,Provider_Status,Primary_Risk_Factors
1073295748,PHARMACY_CLAIM,1,1,100.0,0,1,3,0,1,84.62,84.62,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 84.6; High claim denial/rejection rate of 100.0%
1035687794,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,80.0,80.0,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 80.0
1787233815,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,80.0,80.0,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 80.0; High claim denial/rejection rate of 100.0%
1385445111,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.99,79.99,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 80.0; High claim denial/rejection rate of 100.0%
1875128996,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.97,79.97,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 80.0
1290118575,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.96,79.96,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 80.0; High claim denial/rejection rate of 100.0%
1579193203,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.95,79.95,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 80.0; High claim denial/rejection rate of 100.0%
1081528135,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.94,79.94,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.9; High claim denial/rejection rate of 100.0%
1263476604,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.93,79.93,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.9; High claim denial/rejection rate of 100.0%
1510427825,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.91,79.91,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.9
1914396988,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.9,79.9,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.9
1063193327,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.88,79.88,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.9; High claim denial/rejection rate of 100.0%
1109448042,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.88,79.88,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.9; High claim denial/rejection rate of 100.0%
1443711424,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.85,79.85,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.8; High claim denial/rejection rate of 100.0%
1304059508,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.84,79.84,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.8; High claim denial/rejection rate of 100.0%
1426970841,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.8,79.8,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.8
1935754678,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.8,79.8,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.8; High claim denial/rejection rate of 100.0%
1087213139,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.79,79.79,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.8
1866266789,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.78,79.78,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.8; High claim denial/rejection rate of 100.0%
1318224454,PHARMACY_CLAIM,1,1,100.0,0,1,2,0,1,79.77,79.77,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.8
1672565611,PHARMACY_CLAIM,1,1,100.0,1,1,1,0,1,79.73,79.73,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.7
1295604430,PHARMACY_CLAIM,1,1,100.0,0,1,2,0,1,79.68,79.68,100.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.7; High claim denial/rejection rate of 100.0%
1551868694,PHARMACY_CLAIM,1,1,100.0,0,1,4,0,1,79.44,79.44,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.4
1108943532,PHARMACY_CLAIM,1,1,100.0,0,1,4,0,1,79.11,79.11,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 79.1
1148843631,PHARMACY_CLAIM,1,1,100.0,0,1,3,0,1,78.92,78.92,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 78.9
1507355825,PHARMACY_CLAIM,1,1,100.0,0,1,3,0,1,78.62,78.62,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 78.6
1735620608,PHARMACY_CLAIM,1,1,100.0,0,1,3,0,1,78.14,78.14,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 78.1
1888683385,PHARMACY_CLAIM,1,1,100.0,0,1,3,0,1,77.7,77.7,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 77.7
1169301810,PHARMACY_CLAIM,1,1,100.0,0,1,3,0,1,76.66,76.66,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 76.7
1164978912,MEDICAL_CLAIM,2,2,100.0,0,1,4,0,1,55.32,79.36,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 55.3
1093702177,MEDICAL_CLAIM,2,2,100.0,0,1,4,0,1,54.32,79.01,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 54.3
1811171978,MEDICAL_CLAIM,3,3,100.0,0,1,5,0,1,44.6,79.17,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 44.6
1417985474,MEDICAL_CLAIM,2,1,50.0,0,1,4,0,1,39.87,78.65,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 50.0% flagged records (Threshold: 10%); High average claim risk score of 39.9
1861455057,MEDICAL_CLAIM,4,4,100.0,0,1,7,0,1,39.32,78.77,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 39.3
1821341249,MEDICAL_CLAIM,5,5,100.0,0,1,7,0,1,38.73,79.55,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 38.7
1124373022,MEDICAL_CLAIM,3,2,66.67,0,1,5,0,1,37.26,78.59,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 66.7% flagged records (Threshold: 10%); High average claim risk score of 37.3
1366425266,MEDICAL_CLAIM,4,3,75.0,0,1,5,0,1,36.71,78.64,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 75.0% flagged records (Threshold: 10%); High average claim risk score of 36.7
1639172810,MEDICAL_CLAIM,8,8,100.0,0,1,10,0,1,34.49,79.66,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records (Threshold: 10%)
1407119431,MEDICAL_CLAIM,4,3,75.0,0,1,5,0,1,34.15,79.49,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 75.0% flagged records (Threshold: 10%)
1881061059,MEDICAL_CLAIM,6,5,83.33,0,1,7,0,1,31.91,79.59,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 83.3% flagged records (Threshold: 10%)
1356643035,MEDICAL_CLAIM,3,1,33.33,0,1,3,0,1,29.42,79.1,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 33.3% flagged records (Threshold: 10%)
1447694344,MEDICAL_CLAIM,3,1,33.33,0,1,3,0,1,29.18,78.95,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 33.3% flagged records (Threshold: 10%)
1841258035,MEDICAL_CLAIM,5,3,60.0,0,1,5,0,1,28.78,78.64,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 60.0% flagged records (Threshold: 10%)
1437104916,MEDICAL_CLAIM,4,2,50.0,0,1,4,0,1,28.39,79.3,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 50.0% flagged records (Threshold: 10%)
1285083469,MEDICAL_CLAIM,12,10,83.33,0,1,12,0,1,28.05,79.11,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 83.3% flagged records (Threshold: 10%)
1003437344,MEDICAL_CLAIM,4,2,50.0,0,1,3,0,1,27.99,79.45,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 50.0% flagged records (Threshold: 10%)
1851562367,MEDICAL_CLAIM,5,3,60.0,0,1,5,0,1,27.08,79.31,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 60.0% flagged records (Threshold: 10%)
1447435862,MEDICAL_CLAIM,8,5,62.5,0,1,7,0,1,25.63,78.53,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 62.5% flagged records (Threshold: 10%)
1518337880,MEDICAL_CLAIM,8,4,50.0,0,1,6,0,1,21.82,79.18,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 50.0% flagged records (Threshold: 10%)
1700864352,MEDICAL_CLAIM,9,2,22.22,0,1,4,0,1,15.17,78.5,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,1 critical-risk records; 22.2% flagged records (Threshold: 10%)
1104288976,MEDICAL_CLAIM,37,22,59.46,0,37,21,21,0,41.34,63.49,2.7,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,21 high-risk records; 59.5% flagged records (Threshold: 10%); High average claim risk score of 41.3
1538349469,MEDICAL_CLAIM,47,35,74.47,0,20,35,18,0,34.08,63.4,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,18 high-risk records; 74.5% flagged records (Threshold: 10%)
1164451613,MEDICAL_CLAIM,21,18,85.71,0,19,19,17,0,48.47,74.16,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,17 high-risk records; 85.7% flagged records (Threshold: 10%); High average claim risk score of 48.5
1992880736,MEDICAL_CLAIM,19,17,89.47,0,18,17,16,0,51.32,58.14,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,16 high-risk records; 89.5% flagged records (Threshold: 10%); High average claim risk score of 51.3
1265532915,MEDICAL_CLAIM,15,14,93.33,0,15,14,14,0,55.33,59.36,6.67,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,14 high-risk records; 93.3% flagged records (Threshold: 10%); High average claim risk score of 55.3
1801898556,MEDICAL_CLAIM,16,14,87.5,1,16,13,14,0,51.79,63.93,6.67,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,14 high-risk records; 87.5% flagged records (Threshold: 10%); High average claim risk score of 51.8
1821006867,MEDICAL_CLAIM,21,17,80.95,0,17,17,14,0,44.95,64.85,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,14 high-risk records; 81.0% flagged records (Threshold: 10%); High average claim risk score of 45.0
1215332762,MEDICAL_CLAIM,27,13,48.15,0,25,13,13,0,37.77,57.93,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,13 high-risk records; 48.1% flagged records (Threshold: 10%); High average claim risk score of 37.8
1568664613,MEDICAL_CLAIM,16,11,68.75,0,16,11,11,0,46.31,59.33,6.25,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,11 high-risk records; 68.8% flagged records (Threshold: 10%); High average claim risk score of 46.3
1619351160,MEDICAL_CLAIM,23,23,100.0,0,23,10,10,0,43.08,63.25,4.35,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,10 high-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 43.1
1972594877,MEDICAL_CLAIM,22,10,45.45,0,20,10,10,0,36.05,57.12,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,10 high-risk records; 45.5% flagged records (Threshold: 10%); High average claim risk score of 36.1
1003866740,MEDICAL_CLAIM,10,7,70.0,0,10,7,7,0,46.93,58.97,10.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,7 high-risk records; 70.0% flagged records (Threshold: 10%); High average claim risk score of 46.9
1073552022,MEDICAL_CLAIM,18,6,33.33,0,18,7,6,0,32.53,59.46,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,6 high-risk records; 33.3% flagged records (Threshold: 10%)
1326288143,MEDICAL_CLAIM,5,5,100.0,0,5,5,5,0,64.4,64.65,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,5 high-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 64.4
1881836195,MEDICAL_CLAIM,6,5,83.33,0,6,5,5,0,53.25,64.38,16.67,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,5 high-risk records; 83.3% flagged records (Threshold: 10%); High average claim risk score of 53.3
1972135390,MEDICAL_CLAIM,6,5,83.33,0,6,5,5,0,51.56,59.08,16.67,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,5 high-risk records; 83.3% flagged records (Threshold: 10%); High average claim risk score of 51.6
1861686776,MEDICAL_CLAIM,4,4,100.0,0,4,4,4,0,64.17,64.43,0.0,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,4 high-risk records; 100.0% flagged records (Threshold: 10%); High average claim risk score of 64.2
1780879023,MEDICAL_CLAIM,6,5,83.33,1,6,4,4,0,50.94,59.13,16.67,HIGH-RISK PROVIDER,PROVIDER REQUIRING REVIEW,4 high-risk records; 83.3% flagged records (Threshold: 10%); High average claim risk score of 50.9
