Provider_NPI,Predominant_Record_Type,Total_Records,Flagged_Records,Flagged_Record_Percentage,ML_Anomaly_Count,Statistical_Anomaly_Count,Rule_Violation_Count,Consensus_Level_2_Count,Consensus_Level_3_Count,High_Risk_Record_Count,Critical_Risk_Record_Count,Average_Risk_Score,Maximum_Risk_Score,Denial_Rate_Percentage,Provider_Risk_Level,Provider_Status,Primary_Risk_Factors,Provider_Explanation
1134606403,MEDICAL_CLAIM,44,27,61.36,1,15,29,24,0,3,1,32.85,89.36,2.27,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 3 high-risk records; 61.4% flagged records,"Provider NPI 1134606403 submitted 44 claims, of which 27 (61.4%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 3 high-risk records, flagged claim proportion of 61.4% exceeds 10%. Pattern-level investigation is recommended."
1245283530,MEDICAL_CLAIM,6,5,83.33,0,4,5,2,0,2,1,45.28,76.34,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 2 high-risk records; 83.3% flagged records; Average claim risk score = 45.3,"Provider NPI 1245283530 submitted 6 claims, of which 5 (83.3%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 2 high-risk records, flagged claim proportion of 83.3% exceeds 10%, average claim risk score is 45.3. Pattern-level investigation is recommended."
1821006867,MEDICAL_CLAIM,21,17,80.95,1,18,17,14,0,2,1,41.77,75.64,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 2 high-risk records; 81.0% flagged records; Average claim risk score = 41.8,"Provider NPI 1821006867 submitted 21 claims, of which 17 (81.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 2 high-risk records, flagged claim proportion of 81.0% exceeds 10%, average claim risk score is 41.8. Pattern-level investigation is recommended."
1154891562,MEDICAL_CLAIM,10,7,70.0,0,7,4,3,0,2,1,38.62,75.34,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 2 high-risk records; 70.0% flagged records; Average claim risk score = 38.6,"Provider NPI 1154891562 submitted 10 claims, of which 7 (70.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 2 high-risk records, flagged claim proportion of 70.0% exceeds 10%, average claim risk score is 38.6. Pattern-level investigation is recommended."
1730144593,MEDICAL_CLAIM,20,19,95.0,0,19,8,6,0,2,1,38.19,76.05,5.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 2 high-risk records; 95.0% flagged records; Average claim risk score = 38.2,"Provider NPI 1730144593 submitted 20 claims, of which 19 (95.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 2 high-risk records, flagged claim proportion of 95.0% exceeds 10%, average claim risk score is 38.2. Pattern-level investigation is recommended."
1972509701,MEDICAL_CLAIM,2,2,100.0,0,2,2,1,0,1,1,68.14,85.39,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 100.0% flagged records; Average claim risk score = 68.1,"Provider NPI 1972509701 submitted 2 claims, of which 2 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 1 high-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 68.1. Pattern-level investigation is recommended."
1194077297,MEDICAL_CLAIM,5,4,80.0,1,2,6,1,1,1,1,49.46,100.0,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 80.0% flagged records; Average claim risk score = 49.5,"Provider NPI 1194077297 submitted 5 claims, of which 4 (80.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 1 high-risk records, flagged claim proportion of 80.0% exceeds 10%, average claim risk score is 49.5. Pattern-level investigation is recommended."
1447615455,MEDICAL_CLAIM,4,3,75.0,0,3,5,2,0,1,1,45.76,82.52,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 75.0% flagged records; Average claim risk score = 45.8,"Provider NPI 1447615455 submitted 4 claims, of which 3 (75.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 1 high-risk records, flagged claim proportion of 75.0% exceeds 10%, average claim risk score is 45.8. Pattern-level investigation is recommended."
1942518550,MEDICAL_CLAIM,7,6,85.71,0,2,8,1,1,1,1,39.1,81.28,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 85.7% flagged records; Average claim risk score = 39.1,"Provider NPI 1942518550 submitted 7 claims, of which 6 (85.7%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 1 high-risk records, flagged claim proportion of 85.7% exceeds 10%, average claim risk score is 39.1. Pattern-level investigation is recommended."
1295145191,MEDICAL_CLAIM,6,3,50.0,1,2,7,2,0,1,1,34.23,75.69,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 1 high-risk records; 50.0% flagged records,"Provider NPI 1295145191 submitted 6 claims, of which 3 (50.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, 1 high-risk records, flagged claim proportion of 50.0% exceeds 10%. Pattern-level investigation is recommended."
1541564391,PHARMACY_CLAIM,1,1,100.0,1,1,3,0,1,0,1,99.77,99.77,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 99.8,"Provider NPI 1541564391 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 99.8. Pattern-level investigation is recommended."
1416354126,PHARMACY_CLAIM,1,1,100.0,0,1,2,0,1,0,1,93.11,93.11,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 93.1; Empirical claim denial rate = 100.0%,"Provider NPI 1416354126 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 93.1. Pattern-level investigation is recommended."
1870248593,PHARMACY_CLAIM,1,1,100.0,1,1,2,0,1,0,1,89.87,89.87,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 89.9; Empirical claim denial rate = 100.0%,"Provider NPI 1870248593 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 89.9. Pattern-level investigation is recommended."
1318224454,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,89.17,89.17,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 89.2,"Provider NPI 1318224454 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 89.2. Pattern-level investigation is recommended."
1184379255,PHARMACY_CLAIM,1,1,100.0,0,1,3,1,0,0,1,88.95,88.95,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 89.0; Empirical claim denial rate = 100.0%,"Provider NPI 1184379255 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 89.0. Pattern-level investigation is recommended."
1160754643,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,88.51,88.51,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 88.5,"Provider NPI 1160754643 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 88.5. Pattern-level investigation is recommended."
1551868694,PHARMACY_CLAIM,1,1,100.0,0,1,4,1,0,0,1,88.34,88.34,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 88.3,"Provider NPI 1551868694 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 88.3. Pattern-level investigation is recommended."
1507355825,PHARMACY_CLAIM,1,1,100.0,0,1,3,1,0,0,1,86.3,86.3,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 86.3,"Provider NPI 1507355825 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 86.3. Pattern-level investigation is recommended."
1307832067,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,85.25,85.25,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 85.2,"Provider NPI 1307832067 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 85.2. Pattern-level investigation is recommended."
1735620608,PHARMACY_CLAIM,1,1,100.0,0,1,3,1,0,0,1,85.1,85.1,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 85.1,"Provider NPI 1735620608 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 85.1. Pattern-level investigation is recommended."
1274003795,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,85.08,85.08,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 85.1,"Provider NPI 1274003795 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 85.1. Pattern-level investigation is recommended."
1640525944,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,85.02,85.02,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 85.0,"Provider NPI 1640525944 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 85.0. Pattern-level investigation is recommended."
1295604430,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,82.71,82.71,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 82.7; Empirical claim denial rate = 100.0%,"Provider NPI 1295604430 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 82.7. Pattern-level investigation is recommended."
1560517239,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,82.64,82.64,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 82.6,"Provider NPI 1560517239 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 82.6. Pattern-level investigation is recommended."
1383304048,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,82.45,82.45,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 82.5,"Provider NPI 1383304048 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 82.5. Pattern-level investigation is recommended."
1108943532,PHARMACY_CLAIM,1,1,100.0,0,1,4,1,0,0,1,81.28,81.28,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 81.3,"Provider NPI 1108943532 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 81.3. Pattern-level investigation is recommended."
1950052993,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,81.07,81.07,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 81.1,"Provider NPI 1950052993 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 81.1. Pattern-level investigation is recommended."
1148843631,PHARMACY_CLAIM,1,1,100.0,0,1,3,1,0,0,1,80.81,80.81,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 80.8,"Provider NPI 1148843631 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 80.8. Pattern-level investigation is recommended."
1205839164,MEDICAL_CLAIM,1,1,100.0,1,1,1,0,1,0,1,79.68,79.68,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 79.7,"Provider NPI 1205839164 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 79.7. Pattern-level investigation is recommended."
1418661594,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,76.72,76.72,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 76.7,"Provider NPI 1418661594 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 76.7. Pattern-level investigation is recommended."
1119210650,PHARMACY_CLAIM,1,1,100.0,0,1,2,1,0,0,1,76.66,76.66,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 76.7; Empirical claim denial rate = 100.0%,"Provider NPI 1119210650 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 76.7. Pattern-level investigation is recommended."
1073295748,PHARMACY_CLAIM,1,1,100.0,0,1,3,1,0,0,1,76.31,76.31,100.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 76.3; Empirical claim denial rate = 100.0%,"Provider NPI 1073295748 submitted 1 claims, of which 1 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 76.3. Pattern-level investigation is recommended."
1528147824,MEDICAL_CLAIM,2,2,100.0,0,2,2,1,0,0,1,63.11,83.19,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 63.1,"Provider NPI 1528147824 submitted 2 claims, of which 2 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 63.1. Pattern-level investigation is recommended."
1033359468,MEDICAL_CLAIM,2,2,100.0,0,2,2,1,0,0,1,57.23,75.26,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 57.2,"Provider NPI 1033359468 submitted 2 claims, of which 2 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 57.2. Pattern-level investigation is recommended."
1104247188,MEDICAL_CLAIM,3,3,100.0,0,3,1,1,0,0,1,55.73,75.27,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 55.7,"Provider NPI 1104247188 submitted 3 claims, of which 3 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 55.7. Pattern-level investigation is recommended."
1104803444,MEDICAL_CLAIM,2,2,100.0,0,1,2,1,0,0,1,52.52,75.01,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 52.5,"Provider NPI 1104803444 submitted 2 claims, of which 2 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 52.5. Pattern-level investigation is recommended."
1669884854,MEDICAL_CLAIM,2,1,50.0,0,2,2,1,0,0,1,47.44,83.0,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 50.0% flagged records; Average claim risk score = 47.4,"Provider NPI 1669884854 submitted 2 claims, of which 1 (50.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 50.0% exceeds 10%, average claim risk score is 47.4. Pattern-level investigation is recommended."
1811171978,MEDICAL_CLAIM,3,3,100.0,0,2,5,1,0,0,1,45.65,75.17,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 100.0% flagged records; Average claim risk score = 45.7,"Provider NPI 1811171978 submitted 3 claims, of which 3 (100.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 100.0% exceeds 10%, average claim risk score is 45.6. Pattern-level investigation is recommended."
1962867762,MEDICAL_CLAIM,3,2,66.67,0,1,3,1,0,0,1,41.43,75.01,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 66.7% flagged records; Average claim risk score = 41.4,"Provider NPI 1962867762 submitted 3 claims, of which 2 (66.7%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 66.7% exceeds 10%, average claim risk score is 41.4. Pattern-level investigation is recommended."
1487640207,MEDICAL_CLAIM,2,1,50.0,0,1,1,1,0,0,1,40.11,75.18,0.0,HIGH-RISK PROVIDER PATTERN,PROVIDER REQUIRING REVIEW,1 critical-risk records; 50.0% flagged records; Average claim risk score = 40.1,"Provider NPI 1487640207 submitted 2 claims, of which 1 (50.0%) were flagged as high-risk. This provider is flagged for REVIEW because of: 1 critical-risk records, flagged claim proportion of 50.0% exceeds 10%, average claim risk score is 40.1. Pattern-level investigation is recommended."
